# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-04-22 02:39:55 -04:00	(natwebcaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08110000 Yegua Ck nr Somerville, TX
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 08110000
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    135366      00060        00001      140934         Discharge, cubic feet per second (Maximum)
#    135367      00060        00002      140934         Discharge, cubic feet per second (Minimum)
#    135368      00060        00003      140934         Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	135366_00060_00001	135366_00060_00001_cd	135367_00060_00002	135367_00060_00002_cd	135368_00060_00003	135368_00060_00003_cd
USGS	08110000	1949-02-19					0.60	A
USGS	08110000	1949-02-20					0.50	A
USGS	08110000	1949-02-21					0.50	A
USGS	08110000	1949-02-22					0.50	A
USGS	08110000	1949-02-23					0.50	A
USGS	08110000	1949-02-24					0.50	A
USGS	08110000	1949-02-25					197	A
USGS	08110000	1949-02-26					4020	A
USGS	08110000	1949-02-27					6080	A
USGS	08110000	1949-02-28					2950	A
USGS	08110000	1949-03-01					1470	A
USGS	08110000	1949-03-02					758	A
USGS	08110000	1949-03-03					520	A
USGS	08110000	1949-03-04					333	A
USGS	08110000	1949-03-05					149	A
USGS	08110000	1949-03-06					64.0	A
USGS	08110000	1949-03-07					39.0	A
USGS	08110000	1949-03-08					26.0	A
USGS	08110000	1949-03-09					19.0	A
USGS	08110000	1949-03-10					14.0	A
USGS	08110000	1949-03-11					11.0	A
USGS	08110000	1949-03-12					10.0	A
USGS	08110000	1949-03-13					9.60	A
USGS	08110000	1949-03-14					11.0	A
USGS	08110000	1949-03-15					46.0	A
USGS	08110000	1949-03-16					81.0	A
USGS	08110000	1949-03-17					34.0	A
USGS	08110000	1949-03-18					16.0	A
USGS	08110000	1949-03-19					8.90	A
USGS	08110000	1949-03-20					6.20	A
USGS	08110000	1949-03-21					288	A
USGS	08110000	1949-03-22					961	A
USGS	08110000	1949-03-23					912	A
USGS	08110000	1949-03-24					700	A
USGS	08110000	1949-03-25					425	A
USGS	08110000	1949-03-26					360	A
USGS	08110000	1949-03-27					270	A
USGS	08110000	1949-03-28					288	A
USGS	08110000	1949-03-29					330	A
USGS	08110000	1949-03-30					246	A
USGS	08110000	1949-03-31					152	A
USGS	08110000	1949-04-01					62.0	A
USGS	08110000	1949-04-02					41.0	A
USGS	08110000	1949-04-03					29.0	A
USGS	08110000	1949-04-04					29.0	A
USGS	08110000	1949-04-05					53.0	A
USGS	08110000	1949-04-06					46.0	A
USGS	08110000	1949-04-07					28.0	A
USGS	08110000	1949-04-08					20.0	A
USGS	08110000	1949-04-09					14.0	A
USGS	08110000	1949-04-10					11.0	A
USGS	08110000	1949-04-11					9.40	A
USGS	08110000	1949-04-12					8.10	A
USGS	08110000	1949-04-13					7.40	A
USGS	08110000	1949-04-14					18.0	A
USGS	08110000	1949-04-15					68.0	A
USGS	08110000	1949-04-16					32.0	A
USGS	08110000	1949-04-17					19.0	A
USGS	08110000	1949-04-18					12.0	A
USGS	08110000	1949-04-19					10.0	A
USGS	08110000	1949-04-20					997	A
USGS	08110000	1949-04-21					1840	A
USGS	08110000	1949-04-22					2310	A
USGS	08110000	1949-04-23					2820	A
USGS	08110000	1949-04-24					3420	A
USGS	08110000	1949-04-25					2130	A
USGS	08110000	1949-04-26					2040	A
USGS	08110000	1949-04-27					10200	A
USGS	08110000	1949-04-28					14900	A
USGS	08110000	1949-04-29					8330	A
USGS	08110000	1949-04-30					4360	A
USGS	08110000	1949-05-01					2780	A
USGS	08110000	1949-05-02					1690	A
USGS	08110000	1949-05-03					1070	A
USGS	08110000	1949-05-04					624	A
USGS	08110000	1949-05-05					306	A
USGS	08110000	1949-05-06					117	A
USGS	08110000	1949-05-07					72.0	A
USGS	08110000	1949-05-08					55.0	A
USGS	08110000	1949-05-09					44.0	A
USGS	08110000	1949-05-10					36.0	A
USGS	08110000	1949-05-11					30.0	A
USGS	08110000	1949-05-12					26.0	A
USGS	08110000	1949-05-13					22.0	A
USGS	08110000	1949-05-14					19.0	A
USGS	08110000	1949-05-15					16.0	A
USGS	08110000	1949-05-16					14.0	A
USGS	08110000	1949-05-17					13.0	A
USGS	08110000	1949-05-18					12.0	A
USGS	08110000	1949-05-19					9.40	A
USGS	08110000	1949-05-20					8.30	A
USGS	08110000	1949-05-21					7.40	A
USGS	08110000	1949-05-22					6.80	A
USGS	08110000	1949-05-23					6.40	A
USGS	08110000	1949-05-24					5.70	A
USGS	08110000	1949-05-25					5.10	A
USGS	08110000	1949-05-26					4.70	A
USGS	08110000	1949-05-27					5.70	A
USGS	08110000	1949-05-28					12.0	A
USGS	08110000	1949-05-29					14.0	A
USGS	08110000	1949-05-30					6.40	A
USGS	08110000	1949-05-31					3.60	A
USGS	08110000	1949-06-01					5.30	A
USGS	08110000	1949-06-02					8.10	A
USGS	08110000	1949-06-03					6.40	A
USGS	08110000	1949-06-04					4.60	A
USGS	08110000	1949-06-05					3.60	A
USGS	08110000	1949-06-06					2.90	A
USGS	08110000	1949-06-07					2.50	A
USGS	08110000	1949-06-08					2.10	A
USGS	08110000	1949-06-09					3.60	A
USGS	08110000	1949-06-10					54.0	A
USGS	08110000	1949-06-11					88.0	A
USGS	08110000	1949-06-12					88.0	A
USGS	08110000	1949-06-13					54.0	A
USGS	08110000	1949-06-14					295	A
USGS	08110000	1949-06-15					393	A
USGS	08110000	1949-06-16					305	A
USGS	08110000	1949-06-17					452	A
USGS	08110000	1949-06-18					254	A
USGS	08110000	1949-06-19					116	A
USGS	08110000	1949-06-20					88.0	A
USGS	08110000	1949-06-21					48.0	A
USGS	08110000	1949-06-22					24.0	A
USGS	08110000	1949-06-23					13.0	A
USGS	08110000	1949-06-24					7.60	A
USGS	08110000	1949-06-25					5.10	A
USGS	08110000	1949-06-26					5.20	A
USGS	08110000	1949-06-27					67.0	A
USGS	08110000	1949-06-28					122	A
USGS	08110000	1949-06-29					40.0	A
USGS	08110000	1949-06-30					13.0	A
USGS	08110000	1949-07-01					6.00	A
USGS	08110000	1949-07-02					3.70	A
USGS	08110000	1949-07-03					3.10	A
USGS	08110000	1949-07-04					26.0	A
USGS	08110000	1949-07-05					21.0	A
USGS	08110000	1949-07-06					11.0	A
USGS	08110000	1949-07-07					3.80	A
USGS	08110000	1949-07-08					2.60	A
USGS	08110000	1949-07-09					1.50	A
USGS	08110000	1949-07-10					1.10	A
USGS	08110000	1949-07-11					0.70	A
USGS	08110000	1949-07-12					0.50	A
USGS	08110000	1949-07-13					0.30	A
USGS	08110000	1949-07-14					0.30	A
USGS	08110000	1949-07-15					0.90	A
USGS	08110000	1949-07-16					4.50	A
USGS	08110000	1949-07-17					13.0	A
USGS	08110000	1949-07-18					10.0	A
USGS	08110000	1949-07-19					3.90	A
USGS	08110000	1949-07-20					2.00	A
USGS	08110000	1949-07-21					1.30	A
USGS	08110000	1949-07-22					0.70	A
USGS	08110000	1949-07-23					0.40	A
USGS	08110000	1949-07-24					0.20	A
USGS	08110000	1949-07-25					0.30	A
USGS	08110000	1949-07-26					0.50	A
USGS	08110000	1949-07-27					0.40	A
USGS	08110000	1949-07-28					0.40	A
USGS	08110000	1949-07-29					0.30	A
USGS	08110000	1949-07-30					0.10	A
USGS	08110000	1949-07-31					0.10	A
USGS	08110000	1949-08-01					0.10	A
USGS	08110000	1949-08-02					0.00	A
USGS	08110000	1949-08-03					0.00	A
USGS	08110000	1949-08-04					0.00	A
USGS	08110000	1949-08-05					0.00	A
USGS	08110000	1949-08-06					0.00	A
USGS	08110000	1949-08-07					0.00	A
USGS	08110000	1949-08-08					0.00	A
USGS	08110000	1949-08-09					0.00	A
USGS	08110000	1949-08-10					0.00	A
USGS	08110000	1949-08-11					0.00	A
USGS	08110000	1949-08-12					0.00	A
USGS	08110000	1949-08-13					0.00	A
USGS	08110000	1949-08-14					0.00	A
USGS	08110000	1949-08-15					0.00	A
USGS	08110000	1949-08-16					0.00	A
USGS	08110000	1949-08-17					0.00	A
USGS	08110000	1949-08-18					0.00	A
USGS	08110000	1949-08-19					0.00	A
USGS	08110000	1949-08-20					0.00	A
USGS	08110000	1949-08-21					0.00	A
USGS	08110000	1949-08-22					0.00	A
USGS	08110000	1949-08-23					0.00	A
USGS	08110000	1949-08-24					0.00	A
USGS	08110000	1949-08-25					0.00	A
USGS	08110000	1949-08-26					0.00	A
USGS	08110000	1949-08-27					0.00	A
USGS	08110000	1949-08-28					0.00	A
USGS	08110000	1949-08-29					0.00	A
USGS	08110000	1949-08-30					0.00	A
USGS	08110000	1949-08-31					0.00	A
USGS	08110000	1949-09-01					0.00	A
USGS	08110000	1949-09-02					0.00	A
USGS	08110000	1949-09-03					0.00	A
USGS	08110000	1949-09-04					0.00	A
USGS	08110000	1949-09-05					0.00	A
USGS	08110000	1949-09-06					0.00	A
USGS	08110000	1949-09-07					0.00	A
USGS	08110000	1949-09-08					0.00	A
USGS	08110000	1949-09-09					1.40	A
USGS	08110000	1949-09-10					5.40	A
USGS	08110000	1949-09-11					4.40	A
USGS	08110000	1949-09-12					1.80	A
USGS	08110000	1949-09-13					1.30	A
USGS	08110000	1949-09-14					0.70	A
USGS	08110000	1949-09-15					0.40	A
USGS	08110000	1949-09-16					0.20	A
USGS	08110000	1949-09-17					8.90	A
USGS	08110000	1949-09-18					69.0	A
USGS	08110000	1949-09-19					70.0	A
USGS	08110000	1949-09-20					94.0	A
USGS	08110000	1949-09-21					30.0	A
USGS	08110000	1949-09-22					30.0	A
USGS	08110000	1949-09-23					9.20	A
USGS	08110000	1949-09-24					3.00	A
USGS	08110000	1949-09-25					1.60	A
USGS	08110000	1949-09-26					1.00	A
USGS	08110000	1949-09-27					0.60	A
USGS	08110000	1949-09-28					0.40	A
USGS	08110000	1949-09-29					0.30	A
USGS	08110000	1949-09-30					0.10	A
USGS	08110000	1949-10-01					0.00	A
USGS	08110000	1949-10-02					0.00	A
USGS	08110000	1949-10-03					0.00	A
USGS	08110000	1949-10-04					0.10	A
USGS	08110000	1949-10-05					0.10	A
USGS	08110000	1949-10-06					0.10	A
USGS	08110000	1949-10-07					0.00	A
USGS	08110000	1949-10-08					0.00	A
USGS	08110000	1949-10-09					0.00	A
USGS	08110000	1949-10-10					92.0	A
USGS	08110000	1949-10-11					277	A
USGS	08110000	1949-10-12					236	A
USGS	08110000	1949-10-13					92.0	A
USGS	08110000	1949-10-14					46.0	A
USGS	08110000	1949-10-15					22.0	A
USGS	08110000	1949-10-16					11.0	A
USGS	08110000	1949-10-17					6.80	A
USGS	08110000	1949-10-18					4.30	A
USGS	08110000	1949-10-19					2.90	A
USGS	08110000	1949-10-20					2.30	A
USGS	08110000	1949-10-21					1.80	A
USGS	08110000	1949-10-22					687	A
USGS	08110000	1949-10-23					2250	A
USGS	08110000	1949-10-24					1780	A
USGS	08110000	1949-10-25					2980	A
USGS	08110000	1949-10-26					3500	A
USGS	08110000	1949-10-27					2500	A
USGS	08110000	1949-10-28					1610	A
USGS	08110000	1949-10-29					731	A
USGS	08110000	1949-10-30					360	A
USGS	08110000	1949-10-31					181	A
USGS	08110000	1949-11-01					73.0	A
USGS	08110000	1949-11-02					43.0	A
USGS	08110000	1949-11-03					28.0	A
USGS	08110000	1949-11-04					21.0	A
USGS	08110000	1949-11-05					16.0	A
USGS	08110000	1949-11-06					13.0	A
USGS	08110000	1949-11-07					11.0	A
USGS	08110000	1949-11-08					9.60	A
USGS	08110000	1949-11-09					8.10	A
USGS	08110000	1949-11-10					7.40	A
USGS	08110000	1949-11-11					6.40	A
USGS	08110000	1949-11-12					7.20	A
USGS	08110000	1949-11-13					8.90	A
USGS	08110000	1949-11-14					6.20	A
USGS	08110000	1949-11-15					4.80	A
USGS	08110000	1949-11-16					4.50	A
USGS	08110000	1949-11-17					4.10	A
USGS	08110000	1949-11-18					3.50	A
USGS	08110000	1949-11-19					3.40	A
USGS	08110000	1949-11-20					3.30	A
USGS	08110000	1949-11-21					3.00	A
USGS	08110000	1949-11-22					2.40	A
USGS	08110000	1949-11-23					2.40	A
USGS	08110000	1949-11-24					2.50	A
USGS	08110000	1949-11-25					2.60	A
USGS	08110000	1949-11-26					2.60	A
USGS	08110000	1949-11-27					2.40	A
USGS	08110000	1949-11-28					2.40	A
USGS	08110000	1949-11-29					2.40	A
USGS	08110000	1949-11-30					2.30	A
USGS	08110000	1949-12-01					2.30	A
USGS	08110000	1949-12-02					2.40	A
USGS	08110000	1949-12-03					10.0	A
USGS	08110000	1949-12-04					114	A
USGS	08110000	1949-12-05					82.0	A
USGS	08110000	1949-12-06					35.0	A
USGS	08110000	1949-12-07					20.0	A
USGS	08110000	1949-12-08					41.0	A
USGS	08110000	1949-12-09					53.0	A
USGS	08110000	1949-12-10					76.0	A
USGS	08110000	1949-12-11					198	A
USGS	08110000	1949-12-12					336	A
USGS	08110000	1949-12-13					322	A
USGS	08110000	1949-12-14					352	A
USGS	08110000	1949-12-15					590	A
USGS	08110000	1949-12-16					615	A
USGS	08110000	1949-12-17					376	A
USGS	08110000	1949-12-18					484	A
USGS	08110000	1949-12-19					674	A
USGS	08110000	1949-12-20					569	A
USGS	08110000	1949-12-21					304	A
USGS	08110000	1949-12-22					186	A
USGS	08110000	1949-12-23					108	A
USGS	08110000	1949-12-24					67.0	A
USGS	08110000	1949-12-25					47.0	A
USGS	08110000	1949-12-26					40.0	A
USGS	08110000	1949-12-27					40.0	A
USGS	08110000	1949-12-28					90.0	A
USGS	08110000	1949-12-29					85.0	A
USGS	08110000	1949-12-30					60.0	A
USGS	08110000	1949-12-31					82.0	A
USGS	08110000	1950-01-01					171	A
USGS	08110000	1950-01-02					80.0	A
USGS	08110000	1950-01-03					52.0	A
USGS	08110000	1950-01-04					67.0	A
USGS	08110000	1950-01-05					69.0	A
USGS	08110000	1950-01-06					50.0	A
USGS	08110000	1950-01-07					39.0	A
USGS	08110000	1950-01-08					30.0	A
USGS	08110000	1950-01-09					25.0	A
USGS	08110000	1950-01-10					22.0	A
USGS	08110000	1950-01-11					29.0	A
USGS	08110000	1950-01-12					37.0	A
USGS	08110000	1950-01-13					132	A
USGS	08110000	1950-01-14					560	A
USGS	08110000	1950-01-15					814	A
USGS	08110000	1950-01-16					437	A
USGS	08110000	1950-01-17					227	A
USGS	08110000	1950-01-18					106	A
USGS	08110000	1950-01-19					64.0	A
USGS	08110000	1950-01-20					46.0	A
USGS	08110000	1950-01-21					36.0	A
USGS	08110000	1950-01-22					30.0	A
USGS	08110000	1950-01-23					26.0	A
USGS	08110000	1950-01-24					24.0	A
USGS	08110000	1950-01-25					22.0	A
USGS	08110000	1950-01-26					19.0	A
USGS	08110000	1950-01-27					17.0	A
USGS	08110000	1950-01-28					16.0	A
USGS	08110000	1950-01-29					15.0	A
USGS	08110000	1950-01-30					14.0	A
USGS	08110000	1950-01-31					13.0	A
USGS	08110000	1950-02-01					12.0	A
USGS	08110000	1950-02-02					12.0	A
USGS	08110000	1950-02-03					12.0	A
USGS	08110000	1950-02-04					26.0	A
USGS	08110000	1950-02-05					692	A
USGS	08110000	1950-02-06					1210	A
USGS	08110000	1950-02-07					1380	A
USGS	08110000	1950-02-08					1210	A
USGS	08110000	1950-02-09					940	A
USGS	08110000	1950-02-10					704	A
USGS	08110000	1950-02-11					410	A
USGS	08110000	1950-02-12					778	A
USGS	08110000	1950-02-13					2130	A
USGS	08110000	1950-02-14					2720	A
USGS	08110000	1950-02-15					3420	A
USGS	08110000	1950-02-16					3120	A
USGS	08110000	1950-02-17					2500	A
USGS	08110000	1950-02-18					1820	A
USGS	08110000	1950-02-19					1020	A
USGS	08110000	1950-02-20					399	A
USGS	08110000	1950-02-21					256	A
USGS	08110000	1950-02-22					895	A
USGS	08110000	1950-02-23					731	A
USGS	08110000	1950-02-24					250	A
USGS	08110000	1950-02-25					120	A
USGS	08110000	1950-02-26					83.0	A
USGS	08110000	1950-02-27					68.0	A
USGS	08110000	1950-02-28					60.0	A
USGS	08110000	1950-03-01					54.0	A
USGS	08110000	1950-03-02					47.0	A
USGS	08110000	1950-03-03					49.0	A
USGS	08110000	1950-03-04					64.0	A
USGS	08110000	1950-03-05					91.0	A
USGS	08110000	1950-03-06					93.0	A
USGS	08110000	1950-03-07					93.0	A
USGS	08110000	1950-03-08					85.0	A
USGS	08110000	1950-03-09					68.0	A
USGS	08110000	1950-03-10					54.0	A
USGS	08110000	1950-03-11					45.0	A
USGS	08110000	1950-03-12					40.0	A
USGS	08110000	1950-03-13					39.0	A
USGS	08110000	1950-03-14					40.0	A
USGS	08110000	1950-03-15					38.0	A
USGS	08110000	1950-03-16					39.0	A
USGS	08110000	1950-03-17					36.0	A
USGS	08110000	1950-03-18					34.0	A
USGS	08110000	1950-03-19					33.0	A
USGS	08110000	1950-03-20					30.0	A
USGS	08110000	1950-03-21					33.0	A
USGS	08110000	1950-03-22					36.0	A
USGS	08110000	1950-03-23					30.0	A
USGS	08110000	1950-03-24					28.0	A
USGS	08110000	1950-03-25					26.0	A
USGS	08110000	1950-03-26					26.0	A
USGS	08110000	1950-03-27					24.0	A
USGS	08110000	1950-03-28					22.0	A
USGS	08110000	1950-03-29					29.0	A
USGS	08110000	1950-03-30					55.0	A
USGS	08110000	1950-03-31					42.0	A
USGS	08110000	1950-04-01					31.0	A
USGS	08110000	1950-04-02					24.0	A
USGS	08110000	1950-04-03					21.0	A
USGS	08110000	1950-04-04					19.0	A
USGS	08110000	1950-04-05					18.0	A
USGS	08110000	1950-04-06					16.0	A
USGS	08110000	1950-04-07					14.0	A
USGS	08110000	1950-04-08					14.0	A
USGS	08110000	1950-04-09					13.0	A
USGS	08110000	1950-04-10					13.0	A
USGS	08110000	1950-04-11					12.0	A
USGS	08110000	1950-04-12					11.0	A
USGS	08110000	1950-04-13					13.0	A
USGS	08110000	1950-04-14					16.0	A
USGS	08110000	1950-04-15					15.0	A
USGS	08110000	1950-04-16					84.0	A
USGS	08110000	1950-04-17					2780	A
USGS	08110000	1950-04-18					4790	A
USGS	08110000	1950-04-19					3590	A
USGS	08110000	1950-04-20					2640	A
USGS	08110000	1950-04-21					1950	A
USGS	08110000	1950-04-22					1480	A
USGS	08110000	1950-04-23					1300	A
USGS	08110000	1950-04-24					1410	A
USGS	08110000	1950-04-25					792	A
USGS	08110000	1950-04-26					668	A
USGS	08110000	1950-04-27					807	A
USGS	08110000	1950-04-28					1050	A
USGS	08110000	1950-04-29					1300	A
USGS	08110000	1950-04-30					1530	A
USGS	08110000	1950-05-01					1430	A
USGS	08110000	1950-05-02					1680	A
USGS	08110000	1950-05-03					1630	A
USGS	08110000	1950-05-04					1320	A
USGS	08110000	1950-05-05					673	A
USGS	08110000	1950-05-06					412	A
USGS	08110000	1950-05-07					363	A
USGS	08110000	1950-05-08					116	A
USGS	08110000	1950-05-09					71.0	A
USGS	08110000	1950-05-10					52.0	A
USGS	08110000	1950-05-11					42.0	A
USGS	08110000	1950-05-12					37.0	A
USGS	08110000	1950-05-13					36.0	A
USGS	08110000	1950-05-14					56.0	A
USGS	08110000	1950-05-15					41.0	A
USGS	08110000	1950-05-16					74.0	A
USGS	08110000	1950-05-17					126	A
USGS	08110000	1950-05-18					193	A
USGS	08110000	1950-05-19					168	A
USGS	08110000	1950-05-20					80.0	A
USGS	08110000	1950-05-21					56.0	A
USGS	08110000	1950-05-22					43.0	A
USGS	08110000	1950-05-23					42.0	A
USGS	08110000	1950-05-24					36.0	A
USGS	08110000	1950-05-25					38.0	A
USGS	08110000	1950-05-26					39.0	A
USGS	08110000	1950-05-27					454	A
USGS	08110000	1950-05-28					615	A
USGS	08110000	1950-05-29					535	A
USGS	08110000	1950-05-30					350	A
USGS	08110000	1950-05-31					164	A
USGS	08110000	1950-06-01					99.0	A
USGS	08110000	1950-06-02					262	A
USGS	08110000	1950-06-03					2170	A
USGS	08110000	1950-06-04					2210	A
USGS	08110000	1950-06-05					4800	A
USGS	08110000	1950-06-06					5200	A
USGS	08110000	1950-06-07					5100	A
USGS	08110000	1950-06-08					3650	A
USGS	08110000	1950-06-09					2840	A
USGS	08110000	1950-06-10					2190	A
USGS	08110000	1950-06-11					1480	A
USGS	08110000	1950-06-12					1050	A
USGS	08110000	1950-06-13					639	A
USGS	08110000	1950-06-14					246	A
USGS	08110000	1950-06-15					97.0	A
USGS	08110000	1950-06-16					66.0	A
USGS	08110000	1950-06-17					51.0	A
USGS	08110000	1950-06-18					41.0	A
USGS	08110000	1950-06-19					35.0	A
USGS	08110000	1950-06-20					31.0	A
USGS	08110000	1950-06-21					30.0	A
USGS	08110000	1950-06-22					36.0	A
USGS	08110000	1950-06-23					41.0	A
USGS	08110000	1950-06-24					28.0	A
USGS	08110000	1950-06-25					25.0	A
USGS	08110000	1950-06-26					31.0	A
USGS	08110000	1950-06-27					23.0	A
USGS	08110000	1950-06-28					16.0	A
USGS	08110000	1950-06-29					12.0	A
USGS	08110000	1950-06-30					9.60	A
USGS	08110000	1950-07-01					8.00	A
USGS	08110000	1950-07-02					7.00	A
USGS	08110000	1950-07-03					6.50	A
USGS	08110000	1950-07-04					6.20	A
USGS	08110000	1950-07-05					5.60	A
USGS	08110000	1950-07-06					5.10	A
USGS	08110000	1950-07-07					5.30	A
USGS	08110000	1950-07-08					5.60	A
USGS	08110000	1950-07-09					18.0	A
USGS	08110000	1950-07-10					37.0	A
USGS	08110000	1950-07-11					12.0	A
USGS	08110000	1950-07-12					8.70	A
USGS	08110000	1950-07-13					12.0	A
USGS	08110000	1950-07-14					43.0	A
USGS	08110000	1950-07-15					146	A
USGS	08110000	1950-07-16					146	A
USGS	08110000	1950-07-17					60.0	A
USGS	08110000	1950-07-18					62.0	A
USGS	08110000	1950-07-19					107	A
USGS	08110000	1950-07-20					138	A
USGS	08110000	1950-07-21					116	A
USGS	08110000	1950-07-22					57.0	A
USGS	08110000	1950-07-23					26.0	A
USGS	08110000	1950-07-24					15.0	A
USGS	08110000	1950-07-25					8.30	A
USGS	08110000	1950-07-26					5.30	A
USGS	08110000	1950-07-27					3.60	A
USGS	08110000	1950-07-28					2.80	A
USGS	08110000	1950-07-29					2.50	A
USGS	08110000	1950-07-30					2.30	A
USGS	08110000	1950-07-31					1.90	A
USGS	08110000	1950-08-01					1.60	A
USGS	08110000	1950-08-02					1.30	A
USGS	08110000	1950-08-03					1.10	A
USGS	08110000	1950-08-04					0.90	A
USGS	08110000	1950-08-05					0.70	A
USGS	08110000	1950-08-06					0.50	A
USGS	08110000	1950-08-07					0.40	A
USGS	08110000	1950-08-08					0.20	A
USGS	08110000	1950-08-09					0.10	A
USGS	08110000	1950-08-10					0.00	A
USGS	08110000	1950-08-11					0.00	A
USGS	08110000	1950-08-12					0.00	A
USGS	08110000	1950-08-13					0.00	A
USGS	08110000	1950-08-14					0.00	A
USGS	08110000	1950-08-15					0.00	A
USGS	08110000	1950-08-16					0.00	A
USGS	08110000	1950-08-17					0.00	A
USGS	08110000	1950-08-18					0.00	A
USGS	08110000	1950-08-19					0.00	A
USGS	08110000	1950-08-20					0.00	A
USGS	08110000	1950-08-21					0.00	A
USGS	08110000	1950-08-22					0.00	A
USGS	08110000	1950-08-23					0.00	A
USGS	08110000	1950-08-24					0.00	A
USGS	08110000	1950-08-25					0.00	A
USGS	08110000	1950-08-26					0.00	A
USGS	08110000	1950-08-27					0.00	A
USGS	08110000	1950-08-28					0.00	A
USGS	08110000	1950-08-29					0.00	A
USGS	08110000	1950-08-30					0.00	A
